codez dwl.m10 dwl.b10 dwl.m20 dwl.b20 dwl.m30 dwl.b30 dwl.m40 dwl.b40 dwl.m50 dwl.b50 dwl.m60 dwl.b60 dwl.m60p dwl.b60p codezz dws.m10 dws.b10 dws.m20 dws.b20 dws.m30 dws.b30 dws.m40 dws.b40 dws.m50 dws.b50 dws.m60 dws.b60 dws.m60p dws.b60p dwr                                                           
 1  62   0  69  0   0 0   0 0   0 0   0 0  0 0    1  75  0  35  0   0 0   0 0   0 0   0 0  0 0   62                       
 2 121   0   0  0   0 0   0 0   0 0   0 0  0 0    2  86  0  62  0   0 0   0 0   0 0   0 0  0 0  100                       
 3 136   0 154  0 178 0 307 0 224 0   0 0  0 0    3 391  0 281  0 212 0 156 0  81 0   0 0  0 0  571                       
 4   0   0 216  0 280 0 415 0 192 0   0 0  0 0    4 471  0 338  0 248 0 186 0  82 0   0 0  0 0  706                       
 5 230   0 334  9 330 0 323 0 203 0   0 0  0 0    5 460  0 299  3 218 0 149 0  62 0   0 0  0 0  685                       
 6 272   0 307  0 387 0 245 0   0 0   0 0  0 0    6 403  0 262  0 169 0  78 0   0 0   0 0  0 0  661                       
 7 177   0 448 10 337 0 150 0   0 0   0 0  0 0    7 513  1 273  2 160 0  63 0   0 0   0 0  0 0  778                       
 8 287 147 394  0 289 0 105 0   0 0   0 0  0 0    8 411 52 219  0 126 0  34 0   0 0   0 0  0 0  781                       
 9   1   0 281  0 320 0 419 0 381 0 136 0  0 0    9 674  0 495  0 328 0 229 0 132 0  33 0  0 0 1216                       
10   0   0 270  0 251 0 331 0 241 0  76 0  0 0   10 561  0 390  0 284 0 195 0 114 0  28 0  0 0 1444                       
11 171   0 265  0 247 0 238 0 296 0  99 0  0 0   11 536  0 367  0 261 0 185 0 124 0  31 0  0 0 1279                       
12  80   0 273  0 277 0 265 0 373 0 100 0  0 0   12 560  0 422  0 299 0 214 0 133 0  41 0  0 0  979                       
13 153   7 237  0 244 0 337 0 143 0   0 0  0 0   13 566  1 377  0 233 0 156 0  50 0   0 0  0 0  846                       
14 288   0 223  0 273 0  64 0   0 0   0 0  0 0   14 357  0 198  0 127 0  26 0   0 0   0 0  0 0  548                       
15 195   0 304  0  93 0 261 0  58 0   0 0  0 0   15 470  0 282  0 171 0 111 0  18 0   0 0  0 0  735                       
16 258   0 276  0 223 0 262 0  58 0   0 0  0 0   16 459  0 255  0 168 0 105 0  27 0   0 0  0 0  949                       
17   0   0 214  0 273 0 261 0 351 0 180 0  0 0   17 599  0 426  0 344 0 243 0 166 0  67 0  0 0  969                       
18   0   0 189  0 206 0 219 0 330 0 137 0  0 0   18 582  0 492  0 340 0 211 0 140 0  51 0  0 0  934                       
19  72   0 222  0 309 0 242 0 311 0  85 0  0 0   19 579  0 443  0 334 0 227 0 152 0  41 0  0 0  807                       
20   0   0 126  0 371 0 249 0 337 0 172 0 40 0   20 602  0 474  0 373 0 261 0 183 0  95 0 26 0 1198                       
21  92   0 299  0 454 0 309 0 184 0   0 0  0 0   21 604  0 386  0 289 0 164 0  48 0   0 0  0 0  944                       
22 235  31 360  0 246 0 223 0   0 0   0 0  0 0   22 452 18 271  0 156 0  58 0   0 0   0 0  0 0  703                       
23 278  31 443  0 337 0 194 0 118 0   0 0  0 0   23 682 12 407  0 242 0 126 0  33 0   0 0  0 0 1381                       
24 443  48 498  0 226 0 210 0   0 0   0 0  0 0   24 622 18 344  0 164 0  80 0   0 0   0 0  0 0 1270                       
25 116   0 222  0 259 0 375 0 286 0   0 0  0 0   25 465  0 359  0 286 0 187 0  70 0   0 0  0 0  647                       
26   0   0 192  0 196 0 360 0 367 0 136 0  0 0   26 575  0 444  0 330 0 238 0 141 0  68 0  0 0  737                       
27   0   0 175  0 317 0 236 0 281 0  29 0  0 0   27 486  0 378  0 271 0 164 0  84 0   5 0  0 0  629                       
28 226   0 262  0 131 0   0 0   0 0   0 0  0 0   28 263  0 151  0  53 0   0 0   0 0   0 0  0 0  365                       
29  78   0 255  0 375 0 268 0 202 0   0 0  0 0   29 508  0 392  0 265 0 160 0  57 0   0 0  0 0  757                       
30 243   0 353  0 335 0 309 0 327 0  95 0  0 0   30 652  0 408  0 289 0 191 0 126 0  41 0  0 0  905                       
